date,ticker,state,first hammer date,progress,num inverted hammer,hold,max ror
2021-01-10 09:00:00,KRW-PUNDIX,rise,2021-01-09 09:00:00,1,1,0,50.0
2021-01-14 09:00:00,KRW-PLA,rise,2020-12-16 09:00:00,29,1,0,34.01360544217687
2021-01-17 09:00:00,KRW-ENJ,rise,2021-01-08 09:00:00,9,2,0,104.12844036697248
2021-01-20 09:00:00,KRW-ANKR,rise,2020-12-18 09:00:00,33,1,2,61.53846153846154
2021-01-25 09:00:00,KRW-HIFI,rise,2021-01-19 09:00:00,6,2,3,44.70588235294118
2021-01-29 09:00:00,KRW-SC,rise,2021-01-28 09:00:00,1,1,1,66.66666666666666
2021-02-02 09:00:00,KRW-HIFI,rise,2021-01-28 09:00:00,5,1,3,31.830601092896178
2021-02-03 09:00:00,KRW-STPT,rise,2021-01-28 09:00:00,6,1,1,73.93162393162396
2021-02-03 09:00:00,KRW-STMX,rise,2021-02-02 09:00:00,1,1,3,213.86861313868607
2021-02-09 09:00:00,KRW-MBL,rise,2021-02-03 09:00:00,6,1,3,39.15094339622642
2021-02-09 09:00:00,KRW-MVL,rise,2021-02-03 09:00:00,6,1,0,35.35031847133757
2021-02-09 09:00:00,KRW-HUM,rise,2021-02-06 09:00:00,3,1,0,30.434782608695656
2021-02-10 09:00:00,KRW-GAS,rise,2021-02-03 09:00:00,7,1,2,56.20437956204379
2021-02-18 09:00:00,KRW-MLK,rise,2021-02-17 09:00:00,1,1,6,82.02247191011236
2021-02-18 09:00:00,KRW-BORA,rise,2021-02-17 09:00:00,1,1,2,987.4524714828898
2021-02-18 09:00:00,KRW-GLM,rise,2021-02-06 09:00:00,12,1,1,36.95652173913043
2021-02-18 09:00:00,KRW-SSX,rise,2021-02-17 09:00:00,1,1,0,96.23655913978493
2021-02-18 09:00:00,KRW-FCT2,rise,2021-02-17 09:00:00,1,1,1,31.74404015056461
2021-02-18 09:00:00,KRW-CBK,rise,2021-02-17 09:00:00,1,1,0,65.125
2021-02-18 09:00:00,KRW-STRK,rise,2021-02-02 09:00:00,16,1,7,119.8581560283688
2021-02-20 09:00:00,KRW-TFUEL,rise,2021-02-19 09:00:00,1,1,0,35.951661631419945
2021-02-21 09:00:00,KRW-SBD,rise,2021-02-15 09:00:00,6,2,10,56.10651974288338
2021-02-21 09:00:00,KRW-IOST,rise,2021-02-17 09:00:00,4,1,8,41.96242171189979
2021-02-22 09:00:00,KRW-ARK,rise,2021-02-21 09:00:00,1,1,6,41.32492113564668
2021-02-24 09:00:00,KRW-POLYX,rise,2021-02-18 09:00:00,6,1,5,38.88888888888889
2021-02-24 09:00:00,KRW-ONG,rise,2021-02-21 09:00:00,3,2,8,57.99999999999999
2021-02-24 09:00:00,KRW-GAS,rise,2021-02-21 09:00:00,3,2,2,162.3497997329773
2021-02-24 09:00:00,KRW-CHZ,rise,2021-02-19 09:00:00,5,1,0,42.17391304347827
2021-02-26 09:00:00,KRW-AQT,rise,2021-02-25 09:00:00,1,1,0,64.64285714285715
2021-02-26 09:00:00,KRW-CBK,rise,2021-02-25 09:00:00,1,1,0,69.5
2021-02-28 09:00:00,KRW-MTL,rise,2021-02-27 09:00:00,1,1,3,45.627376425855516
2021-03-01 09:00:00,KRW-ENJ,rise,2021-02-25 09:00:00,4,1,0,33.734939759036145
2021-03-11 09:00:00,KRW-AERGO,rise,2021-03-10 09:00:00,1,1,3,70.58823529411765
2021-03-11 09:00:00,KRW-DKA,rise,2021-03-03 09:00:00,8,1,0,30.201342281879196
2021-03-12 09:00:00,KRW-META,rise,2021-03-09 09:00:00,3,1,4,58.08383233532935
2021-03-19 09:00:00,KRW-BTT,rise,2021-03-13 09:00:00,6,1,3,54.45026178010469
2021-03-20 09:00:00,KRW-MOC,rise,2021-03-19 09:00:00,1,1,9,65.32663316582915
2021-03-20 09:00:00,KRW-HUNT,rise,2021-03-19 09:00:00,1,1,1,32.97180043383948
2021-03-22 09:00:00,KRW-REP,rise,2021-03-01 09:00:00,21,2,1,49.524874231414195
2021-03-23 09:00:00,KRW-XEC,rise,2021-03-22 09:00:00,1,1,0,89.10987936093902
2021-03-26 09:00:00,KRW-GRS,rise,2021-03-22 09:00:00,4,1,21,30.743982494529543
2021-03-27 09:00:00,KRW-STORJ,rise,2021-03-23 09:00:00,4,1,2,110.96256684491979
2021-03-30 09:00:00,KRW-STRAX,rise,2021-03-28 09:00:00,2,2,6,142.96675191815856
2021-04-03 09:00:00,KRW-ONG,rise,2021-03-27 09:00:00,7,1,8,40.80882352941176
2021-04-07 09:00:00,KRW-BTG,rise,2021-04-06 09:00:00,1,1,0,100.06001800540163
2021-04-10 09:00:00,KRW-ARDR,rise,2021-04-09 09:00:00,1,1,15,65.38461538461539
2021-04-12 09:00:00,KRW-STRK,rise,2021-04-08 09:00:00,4,2,7,115.1982744317239
2021-04-13 09:00:00,KRW-DOGE,rise,2021-04-11 09:00:00,2,1,1,35.281385281385276
2021-04-13 09:00:00,KRW-STX,rise,2021-04-12 09:00:00,1,1,0,32.19761499148211
2021-04-19 09:00:00,KRW-CBK,rise,2021-04-02 09:00:00,17,2,0,36.75316837658419
2021-04-20 09:00:00,KRW-GRS,rise,2021-04-09 09:00:00,11,1,21,30.994152046783626
2021-04-20 09:00:00,KRW-DAWN,rise,2021-04-19 09:00:00,1,1,0,43.153796236210255
2021-04-26 09:00:00,KRW-GAS,rise,2021-04-16 09:00:00,10,1,2,36.99582753824757
2021-04-26 09:00:00,KRW-CBK,rise,2021-04-25 09:00:00,1,1,0,31.96448390677026
2021-05-19 09:00:00,KRW-SBD,rise,2021-05-18 09:00:00,1,1,10,100.8097165991903
2021-05-19 09:00:00,KRW-AERGO,rise,2021-05-18 09:00:00,1,1,3,68.6411149825784
2021-05-19 09:00:00,KRW-HUNT,rise,2021-05-15 09:00:00,4,1,1,34.090909090909086
2021-05-19 09:00:00,KRW-AQT,rise,2021-05-18 09:00:00,1,1,0,30.17751479289941
2021-05-23 09:00:00,KRW-FCT2,rise,2021-05-21 09:00:00,2,1,1,43.67816091954023
2021-05-26 09:00:00,KRW-SBD,rise,2021-05-25 09:00:00,1,1,10,39.13525498891352
2021-06-07 09:00:00,KRW-MTL,rise,2021-06-06 09:00:00,1,1,3,46.93520140105078
2021-06-07 09:00:00,KRW-STRAX,rise,2021-06-06 09:00:00,1,1,6,50.0
